,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
3048,1000,55.108999999999995,53.724891666666714,4.951713280144431,6.907755278982137,4.0093130422033845,3.979744539563241,0.09036940239731113,1.789400677960852,1.758963195421516
3049,1100,57.2713,56.73478583333333,5.0782842269854,7.003065458786462,4.047799625641763,4.034464591450548,0.08819428676099225,2.7124275873774026,1.718909216503634
3050,1200,58.9406,59.72028666666667,5.308438920827497,7.090076835776092,4.076530157101644,4.085812710612325,0.08741458751992394,2.6485311365211186,1.7390805854339302
3051,1300,61.0,62.42083666666668,5.17507870407021,7.170119543449628,4.110873864173311,4.130523443502814,0.08186791050887766,2.0259517744487865,1.7881184780238804
3052,1400,63.6003,65.06970416666668,5.452820311703814,7.24422751560335,4.152618187316084,4.172021024950431,0.08254691259686803,2.1120285313216005,1.7518875186045955
3053,1500,65.2763,67.7424475,5.7787105031165735,7.313220387090301,4.178629030127972,4.212207251464786,0.08304131737574126,2.32216576894873,1.7735688679333192
3054,1600,67.3647,70.1436716666667,5.728386898524943,7.3777589082278725,4.210121141846748,4.247310682453341,0.07991086170570379,0.9536517119667101,1.6870470635172912
3055,1700,74.4312,72.93593000000001,5.878605615727894,7.438383530044307,4.30987520877309,4.286397916124168,0.07946691779722188,1.0138207327335864,1.7163804417365114
3056,1800,75.6637,75.12314416666668,6.063203720666094,7.495541943884256,4.326298520996218,4.315933601237721,0.07963162235660394,3.5621889585252617,1.8360461774530512
3057,1900,76.7919,77.48650666666666,6.175188481735324,7.549609165154532,4.341099165841407,4.346976803777482,0.0788456479161137,2.2892048564197665,1.663636956895194
3058,2000,79.2275,80.02853916666668,6.375079676969845,7.600902459542082,4.3723234607749175,4.379265036152739,0.07868997029419776,1.6430645091709621,1.7405239592327975
3059,2100,81.6149,82.07136416666668,6.536894329531355,7.649692623711514,4.402011843340285,4.404478717512181,0.07855015819709575,1.2557063842690266,1.8333636815057408
3060,2200,85.4751,84.29348166666665,6.641495081179538,7.696212639346407,4.44822510545741,4.431251546393875,0.07787304307059223,1.5405871711398316,1.7412822336535276
3061,2300,86.5794,86.4526733333334,6.615108654936319,7.7406644019172415,4.461061911982892,4.456722849133999,0.07552449148040136,0.8029943204087018,1.7252612449714588
3062,2400,95.2575,88.63279833333334,6.704121107646945,7.783224016336037,4.556583751064447,4.481685286352526,0.074807787458685,0.7124309475423949,1.737400356900739
3063,2500,97.3293,90.68775999999998,6.727035487412114,7.824046010856292,4.578100074385415,4.50471501663176,0.07332972524943136,1.9153374709217574,1.7186023159202657
3064,2600,99.3227,92.84680916666669,6.862446486530193,7.8632667240095735,4.598374145127492,4.528259590909236,0.07313910404695788,1.5411729425754457,1.736862935811527
3065,2700,102.31299999999999,94.81161499999999,7.223126259991259,7.90100705199242,4.628036742107805,4.5490253876744635,0.075520650342383,1.0914193606254439,1.7667293167543852
3066,2800,106.301,96.83036999999996,7.235162676374733,7.937374696163295,4.666274692641377,4.57020601215834,0.07400873487920884,1.2573835493348446,1.7889541372712041
3067,2900,108.296,98.6562783333333,7.261498968397691,7.9724660159745655,4.684868218883485,4.588969935437519,0.07288050414839224,3.5722586378062675,1.850095882342017
3068,3000,108.374,100.49698166666668,7.3315429829262,8.006367567650246,4.685588207837835,4.607497523449967,0.07234357286527993,0.0,0.0
3069,10,2.2360700000000002,3.358624666666668,0.7150635177508384,2.302585092994046,0.8047198607062321,1.1896030470871515,0.20882358120895358,0.0,0.0
3070,100,13.1529,14.163644166666655,1.7027718451492497,4.605170185988092,2.576642266629488,2.643674029712245,0.11768307721068658,1.3665030804201188,1.6056794813979303
3071,200,20.025,21.370676666666668,2.505533039818545,5.298317366548036,2.996981492954423,3.0553130522656806,0.11521619156910232,1.6104139996224731,1.7126578036357556
3072,300,26.0192,26.84902916666666,2.7195913806243306,5.703782474656201,3.2588347270313816,3.285140343844522,0.10076782417093728,1.7124368650524056,1.7601751636533443
3073,400,30.0167,31.6187925,3.1040169220480047,5.991464547107982,3.4017538934474087,3.4491074852704497,0.09557367636437496,1.4448813126358881,1.7533435392386785
3074,500,37.054,35.89659333333332,3.3230372416093164,6.214608098422191,3.612376308127821,3.576484060768244,0.09057615756357267,1.299085951581315,1.7133367482688373
3075,600,41.0122,40.04389833333334,3.710717573596353,6.396929655216146,3.7138695834174307,3.6857598004197327,0.09147028789639876,1.2956638630342534,1.7102698472107807
3076,700,48.0416,43.72722333333333,4.3229883075394016,6.551080335043404,3.8720673022358487,3.773220404550457,0.09685168179999114,1.11880477085522,1.7275058757833865
3077,800,53.0377,47.33177250000001,4.7437520320586515,6.684611727667927,3.9710029814381373,3.852290100828305,0.09834182989737124,1.4489942718654283,1.707768512129291
3078,900,57.1402,50.64796416666664,4.9007527603728755,6.802394763324311,4.04550789697151,3.9203799443217817,0.09431186119759224,1.807124423420902,1.7507711267575068
3079,1000,60.0083,53.724891666666714,4.951713280144431,6.907755278982137,4.094482885988261,3.979744539563241,0.09036940239731113,1.723716947389738,1.758963195421516
3080,1100,64.195,56.73478583333333,5.0782842269854,7.003065458786462,4.161925326043047,4.034464591450548,0.08819428676099225,1.6280346161788417,1.718909216503634
3081,1200,67.1193,59.72028666666667,5.308438920827497,7.090076835776092,4.206471633022327,4.085812710612325,0.08741458751992394,3.750121973991469,1.7390805854339302
3082,1300,67.1193,62.42083666666668,5.17507870407021,7.170119543449628,4.206471633022327,4.130523443502814,0.08186791050887766,4.053557061875851,1.7881184780238804
3083,1400,69.7209,65.06970416666668,5.452820311703814,7.24422751560335,4.244500129346472,4.172021024950431,0.08254691259686803,1.7944281770292816,1.7518875186045955
3084,1500,72.6911,67.7424475,5.7787105031165735,7.313220387090301,4.286218956137582,4.212207251464786,0.08304131737574126,1.9461502601616838,1.7735688679333192
3085,1600,74.6726,70.1436716666667,5.728386898524943,7.3777589082278725,4.313113224315526,4.247310682453341,0.07991086170570379,1.5229145828172648,1.6870470635172912
3086,1700,78.9177,72.93593000000001,5.878605615727894,7.438383530044307,4.368405537293345,4.286397916124168,0.07946691779722188,1.130345472193521,1.7163804417365114
3087,1800,82.8734,75.12314416666668,6.063203720666094,7.495541943884256,4.417314142135647,4.315933601237721,0.07963162235660394,1.0402126911254432,1.8360461774530512
